,candidato,municipio,local,zona,secao,turno,votos_recebidos,ds_grau_escolaridade_ensino_fundamental_completo,ds_grau_escolaridade_ensino_médio_incompleto,ds_grau_escolaridade_analfabeto,ds_grau_escolaridade_ensino_médio_completo,ds_grau_escolaridade_superior_completo,ds_grau_escolaridade_lê_e_escreve,ds_grau_escolaridade_ensino_fundamental_incompleto,ds_grau_escolaridade_superior_incompleto,ds_raca_cor_não_informado,ds_raca_cor_preta,ds_raca_cor_parda,ds_raca_cor_branca,ds_raca_cor_amarela,ds_raca_cor_indígena,ds_faixa_etaria_45_a_49_anos,ds_faixa_etaria_50_a_54_anos,ds_faixa_etaria_40_a_44_anos,ds_faixa_etaria_21_a_24_anos,ds_faixa_etaria_25_a_29_anos,ds_faixa_etaria_19_anos,ds_faixa_etaria_20_anos,ds_faixa_etaria_18_anos,ds_faixa_etaria_17_anos,ds_faixa_etaria_16_anos,ds_faixa_etaria_55_a_59_anos,ds_faixa_etaria_85_a_89_anos,ds_faixa_etaria_90_a_94_anos,ds_faixa_etaria_80_a_84_anos,ds_faixa_etaria_75_a_79_anos,ds_faixa_etaria_70_a_74_anos,ds_faixa_etaria_65_a_69_anos,ds_faixa_etaria_35_a_39_anos,ds_faixa_etaria_95_a_99_anos,ds_faixa_etaria_100_anos_ou_mais,ds_faixa_etaria_60_a_64_anos,ds_faixa_etaria_30_a_34_anos,ds_faixa_etaria_inválida,ds_genero_feminino,ds_genero_masculino,eleitores_totais,percentual_votos
509,SEBASTIAO BOCALOM RODRIGUES,1392,2100,9,333,1,96,10,54,6,96,56,7,25,43,291,0,4,2,0,0,23,10,32,31,104,2,3,0,0,2,18,0,0,0,2,4,7,23,0,0,10,26,0,149,148,297,0.32323232323232326
510,SEBASTIAO BOCALOM RODRIGUES,1392,1724,9,209,1,146,14,50,18,105,20,18,69,27,288,2,26,5,0,0,29,26,34,10,15,4,4,9,3,1,20,0,0,6,5,11,4,32,0,0,12,96,0,179,142,321,0.45482866043613707
511,SEBASTIAO BOCALOM RODRIGUES,1392,1104,9,250,1,125,19,106,14,79,7,15,68,18,289,5,24,8,0,0,26,13,28,60,72,3,9,9,6,3,10,1,1,2,5,9,10,27,0,0,7,25,0,179,147,326,0.3834355828220859
512,SEBASTIAO BOCALOM RODRIGUES,1392,1384,9,24,1,166,23,40,20,96,28,31,72,26,304,4,26,2,0,0,37,31,40,3,22,5,1,1,1,0,28,2,2,10,9,12,21,52,0,0,22,37,0,180,156,336,0.49404761904761907
513,SEBASTIAO BOCALOM RODRIGUES,1392,1074,1,273,1,92,18,29,2,81,36,10,40,19,219,2,12,1,0,1,21,40,54,40,17,5,7,3,1,0,9,3,0,1,2,5,4,13,0,0,4,6,0,129,106,235,0.39148936170212767
514,SEBASTIAO BOCALOM RODRIGUES,1392,3174,1,462,1,128,18,67,11,113,15,20,51,16,295,1,13,2,0,0,20,31,32,15,27,1,2,2,3,1,25,2,0,1,2,4,5,61,0,0,11,66,0,175,136,311,0.4115755627009646
515,SEBASTIAO BOCALOM RODRIGUES,1392,1732,9,260,1,127,23,95,15,102,14,17,70,13,262,9,65,12,0,1,34,11,31,49,81,11,11,14,6,3,14,0,0,2,3,6,3,33,0,0,10,27,0,198,151,349,0.3638968481375358
516,SEBASTIAO BOCALOM RODRIGUES,1392,2364,9,349,1,137,15,42,13,105,32,24,78,16,304,3,12,4,2,0,25,23,39,0,29,2,0,4,0,2,25,2,3,7,8,8,13,75,0,0,18,42,0,191,134,325,0.42153846153846153
517,SEBASTIAO BOCALOM RODRIGUES,1392,1031,1,8,1,122,15,89,3,105,40,14,42,25,303,0,21,9,0,0,15,37,13,47,67,8,14,6,2,1,20,2,2,3,9,21,18,12,0,0,18,18,0,182,151,333,0.3663663663663664
518,SEBASTIAO BOCALOM RODRIGUES,1392,2542,1,460,1,150,21,70,17,81,17,31,74,21,295,2,29,6,0,0,40,30,44,8,19,7,5,5,3,1,21,1,0,6,5,6,13,68,0,0,17,33,0,178,154,332,0.45180722891566266
519,SEBASTIAO BOCALOM RODRIGUES,1392,2127,9,339,1,119,18,115,22,65,4,19,70,9,280,5,30,7,0,0,29,20,30,25,79,6,4,8,3,6,14,1,2,4,2,3,9,26,2,0,9,40,0,154,168,322,0.3695652173913043
520,SEBASTIAO BOCALOM RODRIGUES,1392,1228,9,92,1,142,18,40,2,99,55,19,53,32,302,1,9,6,0,0,52,48,36,12,15,6,4,0,2,1,30,2,3,4,4,11,19,32,0,0,20,17,0,169,149,318,0.44654088050314467
521,SEBASTIAO BOCALOM RODRIGUES,1392,2402,1,90,1,125,24,37,9,65,28,29,45,23,244,4,10,2,0,0,22,18,16,13,24,4,3,0,1,0,26,5,0,4,11,18,20,33,0,0,25,17,0,145,115,260,0.4807692307692308
522,SEBASTIAO BOCALOM RODRIGUES,1392,2100,1,308,1,85,12,19,8,42,31,17,48,19,196,0,0,0,0,0,10,39,12,6,15,0,0,0,0,0,27,4,0,0,11,8,12,21,0,1,11,19,0,120,76,196,0.4336734693877551
523,SEBASTIAO BOCALOM RODRIGUES,1392,2917,1,521,1,106,7,32,3,36,5,6,16,6,87,1,18,5,0,0,7,10,9,25,24,1,7,1,2,0,4,0,0,0,1,0,0,12,0,0,2,6,0,60,51,111,0.954954954954955
524,SEBASTIAO BOCALOM RODRIGUES,1392,2577,1,825,1,104,9,58,6,71,5,12,42,13,83,12,105,12,2,2,16,11,17,26,14,18,24,15,13,2,4,0,0,0,2,3,7,17,0,0,7,20,0,107,109,216,0.48148148148148145
525,SEBASTIAO BOCALOM RODRIGUES,1392,1694,9,278,1,92,14,70,14,77,8,18,74,11,286,0,0,0,0,0,20,12,40,49,77,0,0,0,0,0,14,2,0,3,1,7,7,23,0,1,12,18,0,143,143,286,0.32167832167832167
526,SEBASTIAO BOCALOM RODRIGUES,1392,1554,9,155,1,123,10,33,8,74,72,11,35,41,259,4,19,2,0,0,29,17,37,2,17,1,1,0,5,1,25,1,0,1,0,10,16,63,0,0,23,35,0,150,134,284,0.43309859154929575
527,SEBASTIAO BOCALOM RODRIGUES,1392,3492,1,744,1,99,15,21,1,67,84,6,22,30,240,0,3,3,0,0,19,41,31,7,9,3,2,0,0,0,32,4,1,1,9,15,13,21,1,0,23,14,0,128,118,246,0.4024390243902439
